// ©2003 GS ShopBuilder - Todos los Derechos quedan reservados. 	 	Todas los derechos de traducción reservados.	date20020104	
// ©2003 GS ShopBuilder - Alle Rechte vorbehalten.	 	Alle Übersetzungsrechte vorbehalten.	date20020105	
// ©2003 GS ShopBuilder - Alle Rechten Voorbehouden. 	 		date20020106	
// ©2003 GS ShopBuilder - Med ensamrätt.	 	 	date20020107	sv
// ©2003 GS ShopBuilder - Tutti i Diritti Riservati. 	 	Tutti i diritti di traduzione riservati.	date20020108	
// ©2003 GS ShopBuilder - Todos os Direitos Reservados.	 	Todas os direitos de tradução reservados.	date20020109	
LangTagTextPleaseEnter	dan	Indtast venligst:	date20030218	
LangTagTextPostage	dan	Forsendelsomkostninger	date20030218	
LangTagTextQuantity	dan	Antal	date20030218	Überschrift Seite thankyou
LangTagTextRabat	dan	Mængderabat	date20030218	
LangTagTextRemoveConfirm	dan	Vil du virkelig slette hele indholdet af din indkøbskurv?	date20030218	
LangTagTextRemoveItem	dan	Slet	date20030218	
LangTagTextSearchEnter	dan	Indtast et søgeord! 	date20030218	
LangTagTextSearchNoResult	dan	ingen søgeresultater!	date20030218	
LangTagTextSearchResults	dan	Søgeresultater	date20030218	
LangTagTextSecondCurrency	dan	Dette svarer til en pris på	date20030218	
LangTagTextShortVAT	dan	moms	date20030218	
LangTagTextTextField	dan	Tekst	date20030218	Shoppage
LangTagTextThanks	dan	Tak	date20030218	
LangTagTextTotalPrice	dan	Pris i alt	date20030218	
LangTagTextUnitPrice	dan	Stykpris	date20030218	
LangTagTextUpdateItem	dan	Opdater	date20030218	
LangTagTextVAT	dan	moms	date20030218	
LangTagTextViewBasket	dan	Vis indkøbskurven	date20030218	
LangTagTotalAmount	dan	Fakturabeløb	date20030218	
LangTagYear	dan	År	date20030218	
LangTagYearExpirationDate	dan	År for gyldigheden af dit kreditkort	date20030218	
LangTagCharset	dan	windows-1252	date20030315	
LangTagIssueNumber	dan	kontrolciffer	date20030315	
LangTagNoImage	dan	intet billede!	date20030315	
LangTagSecurityCode	dan	kontrolnummer	date20030315	
LangTagCharsetIso	dan	windows-1252	date20030502	
LangTagCharsetWindows	dan	windows-1252	date20030502	
LangTagContentLanguage	dan	DA	date20030502	//sc15oct2003
LangTagExpirationMonth	dan	GyldigMaaned	date20030502	
LangTagExpirationYear	dan	GyldigAar	date20030502	
LangTagTermsAndCondChecked	dan	læst	date20030502	
LangTagFNAccountHolder	dan	Kontoindehaver	date20030509	
LangTagFNAccountNumber	dan	Kontonummer	date20030509	
LangTagFNBankCodeNumber	dan	Reg_nr	date20030509	//sc15oct2003 should not contain blank or .
LangTagFNCreditCard	dan	Kreditkort	date20030509	
LangTagFNCreditCardHolder	dan	Kreditkort_indehaver	date20030509	//sc18oct2003
LangTagFNCreditCardNumber	dan	Kreditkortnummer	date20030509	
LangTagFNFieldAddress	dan	Adresse	date20030509	
LangTagFNFieldAddress2	dan	Adresse2	date20030509	
LangTagFNFieldCity	dan	By	date20030509	
LangTagFNFieldCompany	dan	Firma	date20030509	
LangTagFNFieldEmail	dan	Email	date20030509	
LangTagFNFieldFax	dan	Fax	date20030509	
LangTagFNFieldFirstName	dan	Fornavn	date20030509	
LangTagFNFieldFormToAddress	dan	Titel	date20030509	
LangTagFNFieldLastName	dan	Efternavn	date20030509	
LangTagFNFieldPhone	dan	Telefon	date20030509	
LangTagFNFieldShippingAddress	dan	Anden_leveringsadresse	date20030509	//sc15oct2003 should not contain blank
LangTagFNFieldState	dan	Land	date20030509	
LangTagFNFieldZipCode	dan	Postnr	date20030509	//sc15oct2003 should not contain blank or .
LangTagFNFinancialInstitution	dan	Pengeinstitut	date20030509	
LangTagFNIssueNumber	dan	Kontrolciffer	date20030509	
LangTagFNMonthExpirationDate	dan	GyldigMaaned	date20030509	
LangTagFNSecurityCode	dan	kontrolnummer	date20030509	
LangTagFNYearExpirationDate	dan	GyldigAar	date20030509	
